Escola;Ip
Adolfina Leonor Soares dos Santos;192.168.77.10
Adolfina Leonor Soares dos Santos;192.168.77.11
Adolfina Leonor Soares dos Santos;192.168.77.12
Adolfina Leonor Soares dos Santos;192.168.77.13
Aida de Almeida Castro Grazioli;192.168.133.10
Aida de Almeida Castro Grazioli;192.168.133.11
Aida de Almeida Castro Grazioli;192.168.133.12
Alaor Xavier Junqueira;192.168.75.10
Alaor Xavier Junqueira;192.168.75.11
Alaor Xavier Junqueira;192.168.75.12
Alaor Xavier Junqueira;192.168.75.13
Antonia Antunes Arouca;192.168.50.10
Antonia Antunes Arouca;192.168.50.11
Antonia Antunes Arouca;192.168.50.12
Antonia Ribeiro da Silva;192.168.104.10
Antonia Ribeiro da Silva;192.168.104.11
Antonia Ribeiro da Silva;192.168.104.12
Antonia Ribeiro da Silva;192.168.104.13
Antonio de Freitas Avelar;192.168.27.10
Antonio de Freitas Avelar;192.168.27.11
Antonio de Freitas Avelar;192.168.27.12
Antonio de Freitas Avelar;192.168.27.13
Antonio de Freitas Avelar;192.168.27.14
Benedito Inacio Soares;192.168.54.10
Benedito Inacio Soares;192.168.54.11
Benedito Inacio Soares;192.168.54.12
Benedito Inacio Soares;192.168.54.13
Bernardo Ferreira Louzada;192.168.140.10
Bernardo Ferreira Louzada;192.168.140.11
Carlos Altero Ortega;192.168.121.10
Carlos Altero Ortega;192.168.121.11
Carlos Altero Ortega;192.168.121.12
Carlos Altero Ortega;192.168.121.13
Carlos de Almeida Rodrigues Dr.;192.168.103.10
Carlos de Almeida Rodrigues Dr.;192.168.103.11
Carlos de Almeida Rodrigues Dr.;192.168.103.12
Edna Maria Nogueira Ferraz;192.168.248.10
Edna Maria Nogueira Ferraz;192.168.248.11
Edna Maria Nogueira Ferraz;192.168.248.12
Edna Maria Nogueira Ferraz;192.168.248.13
Euclydes Ferreira;192.168.41.10
Euclydes Ferreira;192.168.41.11
Euclydes Ferreira;192.168.41.12
Euclydes Ferreira;192.168.41.13
Euclydes Ferreira;192.168.41.16
Geraldo de Lima;192.168.26.10
Geraldo de Lima;192.168.26.11
Geraldo de Lima;192.168.26.12
Jane Urbano Focesi;192.168.173.10
Jane Urbano Focesi;192.168.173.11
Jane Urbano Focesi;192.168.173.12
Jane Urbano Focesi;192.168.173.13
Joao Baptista Gardelin;192.168.96.10
Joao Baptista Gardelin;192.168.96.11
Joao Benedito Marcondes;192.168.134.10
Joao Benedito Marcondes;192.168.134.11
Joao Benedito Marcondes;192.168.134.12
Joao Thimoteo do Rosario;192.168.126.10
Jorge Passos;192.168.139.10
Jorge Passos;192.168.139.11
Jorge Passos;192.168.139.12
Lucio Jacinto dos Santos;192.168.36.10
Lucio Jacinto dos Santos;192.168.36.11
Lucio Jacinto dos Santos;192.168.36.12
Lucio Jacinto dos Santos;192.168.36.13
Luiz Silvar do Prado;192.168.138.10
Luiz Silvar do Prado;192.168.138.11
Luiz Silvar do Prado;192.168.138.12
Luiz Silvar do Prado;192.168.138.13
Luiz Ribeiro Muniz;192.168.233.10
Luiz Ribeiro Muniz;192.168.233.11
Luiz Ribeiro Muniz;192.168.233.12
Masako Sone;192.168.18.10
Masako Sone;192.168.18.11
Maria Aparecida de Carvalho;192.168.92.10
Maria Aparecida de Carvalho;192.168.92.11
Maria Aparecida de Carvalho;192.168.92.12
Maria Aparecida de Carvalho;192.168.92.13
Maria Aparecida Ujio;192.168.22.10
Maria Aparecida Ujio;192.168.22.11
Maria Aparecida Ujio;192.168.22.12
Maria Moraes de Oliveira;192.168.97.10
Maria Moraes de Oliveira;192.168.97.11
Maria Moraes de Oliveira;192.168.97.12
Maria Thereza de Souza Castro;192.168.165.10
Maria Thereza de Souza Castro;192.168.165.11
Maria Thereza de Souza Castro;192.168.165.12
Oswaldo Ferreira;192.168.57.10
Oswaldo Ferreira;192.168.57.11
Oswaldo Ferreira;192.168.57.12
Oswaldo Ferreira;192.168.57.13
Pedro Joao de Oliveira;192.168.90.10
Pedro Joao de Oliveira;192.168.90.11
Ricardo Luques Sammarco Serra;192.168.95.10
Ricardo Luques Sammarco Serra;192.168.95.11
Ricardo Luques Sammarco Serra;192.168.95.12
